"Marca","Tamanho do Motor","Preço Médio BRL","Combustível","Idade"
"GM - Chevrolet",4.1,13005,"Gasoline",35
"Mercedes-Benz",1.6,95992,"Gasoline",8
"Mercedes-Benz",2.2,48227,"Diesel",21
"Mercedes-Benz",2.2,39750,"Diesel",20
"Fiat",1.8,17893,"Gasoline",18
"GM - Chevrolet",2,21977,"Gasoline",20
"Fiat",1.5,8124,"Gasoline",29
"Fiat",2.3,73532,"Diesel",12
"Ford",1.6,52320,"Gasoline",6
"VW - VolksWagen",2.5,39713,"Gasoline",15
"Mercedes-Benz",3.5,71125,"Gasoline",16
"Ford",2.2,202364,"Diesel",2
"GM - Chevrolet",5,23242,"Gasoline",28
"GM - Chevrolet",1.8,47714,"Gasoline",7
"GM - Chevrolet",2,28582,"Gasoline",16
"Ford",2,31945,"Gasoline",15
"Fiat",1.4,34046,"Gasoline",10
"Fiat",1.4,13364,"Gasoline",29
"Fiat",2.3,101642,"Diesel",8
"Fiat",1.4,44742,"Gasoline",11
"Fiat",1,23500,"Gasoline",13
"GM - Chevrolet",4.1,12985,"Gasoline",35
"Mercedes-Benz",2.2,42117,"Diesel",21
"GM - Chevrolet",2.8,165937,"Diesel",7
"Fiat",1.8,24844,"Gasoline",16
"GM - Chevrolet",1.4,47723,"Gasoline",9
"Fiat",1.8,47790,"Gasoline",8
"Fiat",1.3,9033,"Gasoline",20
"Mercedes-Benz",2.6,30909,"Gasoline",30
"VW - VolksWagen",1.8,5869,"Gasoline",29
"VW - VolksWagen",1.6,59260,"Gasoline",6
"Mercedes-Benz",5,56527,"Gasoline",25
"Fiat",1.8,33023,"Gasoline",14
"VW - VolksWagen",1.6,31785,"Gasoline",13
"Ford",1,7765,"Gasoline",24
"GM - Chevrolet",1.4,49165,"Gasoline",7
"Mercedes-Benz",1.8,228945,"Gasoline",8
"VW - VolksWagen",1.6,28885,"Gasoline",14
"VW - VolksWagen",1.6,37067,"Gasoline",11
"GM - Chevrolet",1,99106,"Gasoline",1
"Fiat",1.4,32476,"Gasoline",11
"Ford",3.2,258448,"Diesel",1
"Fiat",2.4,21962,"Gasoline",19
"Fiat",1,45148,"Gasoline",4
"Fiat",1.5,10987,"Alcohol",23
"VW - VolksWagen",2,120535,"Diesel",5
"GM - Chevrolet",2,30542,"Gasoline",15
"Mercedes-Benz",4,889804,"Gasoline",5
"VW - VolksWagen",1.6,22298,"Gasoline",18
"Mercedes-Benz",3,61499,"Gasoline",31
"VW - VolksWagen",1.6,39760,"Gasoline",11
"GM - Chevrolet",1.8,69960,"Gasoline",8
